"BusinessEntityID";"RateChangeDate";"Rate";"PayFrequency";"ModifiedDate"
"1";"1/14/2009";"125.5";"2";"1/1/2009"
"2";"1/31/2008";"63.4615";"2";"1/12/2008"
"3";"11/11/2007";"43.2692";"2";"11/10/2007"
"4";"12/5/2007";"8.62";"2";"12/3/2007"
"4";"5/31/2010";"23.72";"2";"5/30/2010"
"4";"12/15/2011";"29.8462";"2";"12/10/2011"
"5";"1/6/2008";"32.6923";"2";"1/5/2008"
"6";"1/24/2008";"32.6923";"2";"1/11/2008"
"7";"2/8/2009";"50.4808";"2";"1/23/2009"
"8";"12/29/2008";"40.8654";"2";"12/24/2008"
"9";"1/16/2009";"40.8654";"2";"1/14/2009"
"10";"5/3/2009";"42.4808";"2";"4/25/2009"
"11";"12/5/2010";"28.8462";"2";"11/30/2010"
"12";"12/11/2007";"25";"2";"12/1/2007"
"13";"12/23/2010";"25";"2";"12/12/2010"
"14";"12/30/2010";"36.0577";"2";"12/11/2010"
"15";"1/18/2011";"32.6923";"2";"1/8/2011"
"16";"12/20/2007";"24";"2";"12/12/2007"
"16";"7/15/2009";"28.75";"2";"7/11/2009"
"16";"4/30/2012";"37.5";"2";"4/23/2012"
"17";"1/26/2007";"13.4615";"2";"1/23/2007"
"18";"2/7/2011";"14.4231";"2";"1/20/2011"
"19";"2/14/2011";"13.4615";"2";"1/27/2011"
"20";"1/7/2011";"13.4615";"2";"12/19/2010"
"21";"3/2/2009";"14.4231";"2";"2/21/2009"
"22";"12/12/2008";"14.4231";"2";"11/25/2008"
"23";"1/12/2009";"14.4231";"2";"12/29/2008"
"24";"1/18/2009";"14.4231";"2";"1/2/2009"
"25";"2/3/2009";"84.1346";"2";"1/27/2009"
"26";"12/1/2008";"24.5192";"2";"11/15/2008"
"27";"2/27/2008";"25";"2";"2/24/2008"
"28";"6/30/2006";"12.45";"1";"6/28/2006"
"29";"1/23/2009";"12.45";"1";"1/18/2009"
"30";"1/29/2009";"12.45";"1";"1/15/2009"
"31";"1/4/2009";"12.45";"1";"12/20/2008"
"32";"12/29/2008";"12.45";"1";"12/10/2008"
"33";"12/17/2008";"12.45";"1";"12/11/2008"
"34";"2/16/2009";"12.45";"1";"2/11/2009"
"35";"2/8/2009";"12.45";"1";"1/30/2009"
"36";"2/10/2009";"12.45";"1";"2/1/2009"
"37";"3/7/2009";"12.45";"1";"3/6/2009"
"38";"1/16/2010";"12.45";"1";"1/14/2010"
"39";"2/5/2010";"12.45";"1";"2/3/2010"
"40";"12/26/2007";"25";"2";"12/13/2007"
"41";"1/21/2009";"12.45";"1";"1/8/2009"
"42";"12/27/2008";"12.45";"1";"12/10/2008"
"43";"1/2/2009";"12.45";"1";"12/31/2008"
"44";"12/8/2008";"12.45";"1";"12/4/2008"
"45";"2/26/2009";"12.45";"1";"2/9/2009"
