DateSK	FullDateAK	DayNumberOfWeek	DayNameOfWeek	DayNameOfWeekAbbr	DayNumberOfMonth	DayNumberOfYear	WeekNumberOfYear	MonthName	MonthNameAbbr	MonthNumberOfYear	CalendarQuarter	CalendarYear
20050101	1/1/2005	7	Saturday	Sat	1	1	1	January	Jan	1	1	2005
20050102	1/2/2005	1	Sunday	Sun	2	2	2	January	Jan	1	1	2005
20050103	1/3/2005	2	Monday	Mon	3	3	2	January	Jan	1	1	2005
20050104	1/4/2005	3	Tuesday	Tue	4	4	2	January	Jan	1	1	2005
20050105	1/5/2005	4	Wednesday	Wed	5	5	2	January	Jan	1	1	2005
20050106	1/6/2005	5	Thursday	Thu	6	6	2	January	Jan	1	1	2005
20050107	1/7/2005	6	Friday	Fri	7	7	2	January	Jan	1	1	2005
20050108	1/8/2005	7	Saturday	Sat	8	8	2	January	Jan	1	1	2005
20050109	1/9/2005	1	Sunday	Sun	9	9	3	January	Jan	1	1	2005
20050110	1/10/2005	2	Monday	Mon	10	10	3	January	Jan	1	1	2005
20050111	1/11/2005	3	Tuesday	Tue	11	11	3	January	Jan	1	1	2005
20050112	1/12/2005	4	Wednesday	Wed	12	12	3	January	Jan	1	1	2005
20050113	1/13/2005	5	Thursday	Thu	13	13	3	January	Jan	1	1	2005
20050114	1/14/2005	6	Friday	Fri	14	14	3	January	Jan	1	1	2005
20050115	1/15/2005	7	Saturday	Sat	15	15	3	January	Jan	1	1	2005
20050116	1/16/2005	1	Sunday	Sun	16	16	4	January	Jan	1	1	2005
20050117	1/17/2005	2	Monday	Mon	17	17	4	January	Jan	1	1	2005
20050118	1/18/2005	3	Tuesday	Tue	18	18	4	January	Jan	1	1	2005
20050119	1/19/2005	4	Wednesday	Wed	19	19	4	January	Jan	1	1	2005
20050120	1/20/2005	5	Thursday	Thu	20	20	4	January	Jan	1	1	2005
20050121	1/21/2005	6	Friday	Fri	21	21	4	January	Jan	1	1	2005
20050122	1/22/2005	7	Saturday	Sat	22	22	4	January	Jan	1	1	2005
20050123	1/23/2005	1	Sunday	Sun	23	23	5	January	Jan	1	1	2005
20050124	1/24/2005	2	Monday	Mon	24	24	5	January	Jan	1	1	2005
20050125	1/25/2005	3	Tuesday	Tue	25	25	5	January	Jan	1	1	2005
20050126	1/26/2005	4	Wednesday	Wed	26	26	5	January	Jan	1	1	2005
20050127	1/27/2005	5	Thursday	Thu	27	27	5	January	Jan	1	1	2005
20050128	1/28/2005	6	Friday	Fri	28	28	5	January	Jan	1	1	2005
20050129	1/29/2005	7	Saturday	Sat	29	29	5	January	Jan	1	1	2005
20050130	1/30/2005	1	Sunday	Sun	30	30	6	January	Jan	1	1	2005
20050131	1/31/2005	2	Monday	Mon	31	31	6	January	Jan	1	1	2005
20050201	2/1/2005	3	Tuesday	Tue	1	32	6	February	Feb	2	1	2005
20050202	2/2/2005	4	Wednesday	Wed	2	33	6	February	Feb	2	1	2005
20050203	2/3/2005	5	Thursday	Thu	3	34	6	February	Feb	2	1	2005
20050204	2/4/2005	6	Friday	Fri	4	35	6	February	Feb	2	1	2005
20050205	2/5/2005	7	Saturday	Sat	5	36	6	February	Feb	2	1	2005
20050206	2/6/2005	1	Sunday	Sun	6	37	7	February	Feb	2	1	2005
