AccountKey	ParentAccountKey	AccountLabel	AccountName	AccountDescription	AccountType	Operator	CustomMembers	ValueType	CustomMemberOptions
1	NULL	100000	Profit and Loss after tax	Profit and Loss after tax	NULL	NULL	NULL	NULL	NULL
2	24	111000	Income	Income	Income	+	NULL	Income	+
3	24	112000	Expense	Expense	Expense	-	NULL	Expense	-
4	2	110100	Sale Revenue	Sale Revenue	Income	+	NULL	Income	+
5	3	112100	Cost of Goods Sold	Cost of Goods Sold	Expense	+	NULL	Expense	+
6	3	112200	Selling, General & Administrative Expenses	Selling, General & Administrative Expenses	Expense	+	NULL	Expense	+
7	6	112300	Administration Expense	Administration Expense	Expense	+	NULL	Expense	+
8	6	112400	IT Cost	IT Cost	Expense	+	NULL	Expense	+
9	6	112500	Human Capital	Human Capital	Expense	+	NULL	Expense	+
10	6	112600	Light, Heat, Communication Cost	Light, Heat, Communication Cost	Expense	+	NULL	Expense	+
11	6	112700	Property Costs	Property Costs	Expense	+	NULL	Expense	+
12	6	112800	Other Expenses	Other Expenses	Expense	+	NULL	Expense	+
13	6	112900	Marketing Cost	Marketing & Advertisement Cost	Expense	+	NULL	Expense	+
14	13	112910	Holiday Ad Cost	Holiday Ad Cost	Expense	+	NULL	Expense	+
15	13	112920	Spring Ad Cost	Spring Ad Cost	Expense	+	NULL	Expense	+
16	13	112930	Back-to-School Ad Cost	Back-to-School Ad Cost	Expense	+	NULL	Expense	+
17	13	112940	Business Ad Cost	Business Ad Cost	Expense	+	NULL	Expense	+
18	13	112950	Tax Time / Summer Ad Cost	Tax Time / Summer Ad Cost	Expense	+	NULL	Expense	+
19	1	131000	Taxation	Taxation	Taxation	-	NULL	Taxation	-
20	14	112911	Radio & TV	Holiday Ad Cost by Radio & TV	Expense	+	NULL	Expense	+
21	14	112912	Print	Holiday Ad Cost by Print	Expense	+	NULL	Expense	+
22	14	112913	Internet	Holiday Ad Cost by Internet	Expense	+	NULL	Expense	+
23	14	112914	Other	Holiday Ad Cost by Other	Expense	+	NULL	Expense	+
24	1	110000	Profit and Loss before tax	Profit and Loss before tax	NULL	+	NULL	NULL	+
